N_RIGA;ID_LIBRO;TITOLO;AUTORE;GENERE;ANNO_PUBBLICAZIONE;CASA_EDITRICE;ISBN;LINGUA;N_PAGINE;DISPONIBILE;DATA_INIZIO_PRESTITO;DATA_FINE_PRESTITO
1;LIB0001;Fondazione e Impero;Isaac Asimov;Fantascienza;1585;Mondadori;978-92-621-7548-0;Italiano;799;SI;NULL;NULL
2;LIB0002;I Racconti del Terrore;Edgar Allan Poe;Horror;1849;Newton Compton;978-13-218-5279-1;Italiano;758;NO;2026-03-25;2026-06-23
3;LIB0003;I Buddenbrook;Thomas Mann;Romanzo;1571;Corbaccio;978-23-710-8119-2;Italiano;158;SI;NULL;NULL
4;LIB0004;Germinale;Émile Zola;Naturalismo;1621;Einaudi;978-87-623-2894-3;Italiano;973;SI;NULL;NULL
5;LIB0005;La via Familiare;Ben Okri;Romanzo;1890;Garzanti;978-42-145-8144-4;Italiano;469;NO;2026-03-28;2026-06-26
6;LIB0006;Papà Goriot;Honoré de Balzac;Realismo;1851;Einaudi;978-95-301-6967-5;Italiano;1486;SI;NULL;NULL
7;LIB0007;Il Meglio di Asimov;Isaac Asimov;Fantascienza;1980;Mondadori;978-89-421-3041-6;Italiano;756;SI;NULL;NULL
8;LIB0008;De Profundis;Oscar Wilde;Memoir;1607;Newton Compton;978-49-782-7691-7;Italiano;1118;SI;NULL;NULL
9;LIB0009;Il Libro dell'Inquietudine;Fernando Pessoa;Diario;2013;Feltrinelli;978-80-230-4143-8;Italiano;685;SI;NULL;NULL
10;LIB0010;Il Sistema Periodico;Primo Levi;Memoir;1688;Einaudi;978-32-730-5930-9;Italiano;1467;SI;NULL;NULL
11;LIB0011;Il Mondo Nuovo;Aldous Huxley;Distopia;1300;Mondadori;978-46-315-8043-0;Italiano;702;SI;NULL;NULL
12;LIB0012;Herzog;Saul Bellow;Romanzo;1921;Mondadori;978-51-576-8238-1;Italiano;1420;SI;NULL;NULL
13;LIB0013;La Danzatrice di Izu;Yasunari Kawabata;Racconto;1518;Mondadori;978-70-912-3780-2;Italiano;1126;SI;NULL;NULL
14;LIB0014;Cassandra;Christa Wolf;Romanzo;1590;Einaudi;978-94-748-6491-3;Italiano;1135;NO;2026-04-20;2026-07-19
15;LIB0015;Moby Dick;Herman Melville;Avventura;1540;Einaudi;978-49-330-4262-4;Italiano;1457;NO;2026-02-28;2026-05-29
16;LIB0016;Le Città Invisibili;Italo Calvino;Narrativa;1347;Einaudi;978-70-725-2193-5;Italiano;581;SI;NULL;NULL
17;LIB0017;Io Robot;Isaac Asimov;Fantascienza;1944;Mondadori;978-34-835-7291-6;Italiano;1258;SI;NULL;NULL
18;LIB0018;Lo Scontro dei Re;George R.R. Martin;Fantasy;1549;Mondadori;978-93-804-1090-7;Italiano;382;SI;NULL;NULL
19;LIB0019;Fahrenheit 451;Ray Bradbury;Distopia;1409;Mondadori;978-38-280-9486-8;Italiano;950;SI;NULL;NULL
20;LIB0020;Infinite Jest;David Foster Wallace;Postmoderno;1870;Einaudi;978-25-567-3184-9;Italiano;590;SI;NULL;NULL
21;LIB0021;La Ragazza che Giocava con il Fuoco;Stieg Larsson;Thriller;1983;Marsilio;978-81-709-6198-0;Italiano;1167;SI;NULL;NULL
22;LIB0022;Undici Minuti;Paulo Coelho;Romanzo;1753;Bompiani;978-74-536-9976-1;Italiano;1334;SI;NULL;NULL
23;LIB0023;Uno Studio in Rosso;Arthur Conan Doyle;Giallo;1462;Newton Compton;978-67-365-5050-2;Italiano;1052;SI;NULL;NULL
24;LIB0024;La Nausea;Jean-Paul Sartre;Esistenzialismo;1583;Einaudi;978-72-741-4919-3;Italiano;1147;NO;2026-04-23;2026-07-22
25;LIB0025;Emma;Jane Austen;Romanzo sentimentale;1379;Newton Compton;978-40-378-6502-4;Italiano;665;SI;NULL;NULL
26;LIB0026;Resurrezione;Lev Tolstoj;Romanzo;1853;Einaudi;978-27-254-4788-5;Italiano;245;SI;NULL;NULL
27;LIB0027;Il Guardiano degli Innocenti;Andrzej Sapkowski;Fantasy;1456;Mondadori;978-18-524-7678-6;Italiano;518;SI;NULL;NULL
28;LIB0028;Amore;Toni Morrison;Romanzo;1777;Frassinelli;978-17-311-7883-7;Italiano;931;SI;NULL;NULL
29;LIB0029;Il Cercatore d'Oro;Jean-Marie Le Clézio;Romanzo;1898;Einaudi;978-83-489-8814-8;Italiano;120;NO;2026-04-16;2026-07-15
30;LIB0030;L'Infelicità Senza Desideri;Peter Handke;Racconto;1660;Garzanti;978-59-973-7865-9;Italiano;691;SI;NULL;NULL
31;LIB0031;Il Conformista;Alberto Moravia;Romanzo;1859;Bompiani;978-38-599-4595-0;Italiano;1315;NO;2026-04-14;2026-07-13
32;LIB0032;Pippi Calzelunghe;Astrid Lindgren;Fiaba;1797;Salani;978-59-444-7624-1;Italiano;139;SI;NULL;NULL
33;LIB0033;VALIS;Philip K. Dick;Fantascienza;1778;Fanucci;978-89-646-1441-2;Italiano;341;SI;NULL;NULL
34;LIB0034;Il Tempo Ritrovato;Marcel Proust;Modernismo;1906;Einaudi;978-94-127-2375-3;Italiano;1235;SI;NULL;NULL
35;LIB0035;Sottomissione;Michel Houellebecq;Romanzo;1438;Bompiani;978-33-151-5262-4;Italiano;1025;SI;NULL;NULL
36;LIB0036;Il Secondo Sesso;Simone de Beauvoir;Saggio;1516;Einaudi;978-51-445-7211-5;Italiano;1011;NO;2026-04-28;2026-07-27
37;LIB0037;Harry Potter e i Doni della Morte;J.K. Rowling;Fantasy;1731;Salani;978-20-581-1317-6;Italiano;596;SI;NULL;NULL
38;LIB0038;Gente di Dublino;James Joyce;Racconti;1353;Mondadori;978-38-765-2124-7;Italiano;796;SI;NULL;NULL
39;LIB0039;Origine;Dan Brown;Thriller;1967;Mondadori;978-13-353-4266-8;Italiano;162;SI;NULL;NULL
40;LIB0040;Il Dottor Zivago;Boris Pasternak;Romanzo storico;1936;Feltrinelli;978-40-229-8758-9;Italiano;392;SI;NULL;NULL
41;LIB0041;La Guerra dei Mondi;H.G. Wells;Fantascienza;1877;Newton Compton;978-69-816-5198-0;Italiano;526;SI;NULL;NULL
42;LIB0042;La Donna di Sabbia;Kobo Abe;Romanzo;1471;Einaudi;978-87-865-2876-1;Italiano;1320;SI;NULL;NULL
43;LIB0043;Una Giornata di Ivan Denisovic;Alexander Solzhenitsyn;Racconto;1467;Einaudi;978-23-692-1420-2;Italiano;717;SI;NULL;NULL
44;LIB0044;Il Codice Da Vinci;Dan Brown;Thriller;1889;Mondadori;978-58-506-4249-3;Italiano;1467;NO;2026-05-04;2026-08-02
45;LIB0045;Il Falcone Maltese;Dashiell Hammett;Noir;2007;Mondadori;978-41-204-5941-4;Italiano;1364;SI;NULL;NULL
46;LIB0046;Il Cavaliere Inesistente;Italo Calvino;Romanzo;1914;Einaudi;978-82-901-1672-5;Italiano;327;SI;NULL;NULL
47;LIB0047;Il Miglio Verde;Stephen King;Romanzo;1738;Sperling & Kupfer;978-57-170-9289-6;Italiano;1434;SI;NULL;NULL
48;LIB0048;I Quaderni di Malte Laurids Brigge;Rainer Maria Rilke;Romanzo;1312;Einaudi;978-72-208-8102-7;Italiano;940;SI;NULL;NULL
49;LIB0049;Gomorra;Roberto Saviano;Saggio narrativo;1950;Mondadori;978-29-545-3885-8;Italiano;1021;SI;NULL;NULL
50;LIB0050;Ventimila Leghe sotto i Mari;Jules Verne;Avventura;1966;Mondadori;978-88-927-9817-9;Italiano;633;SI;NULL;NULL
51;LIB0051;Il Circolo Pickwick;Charles Dickens;Romanzo umoristico;1776;Newton Compton;978-85-374-6280-0;Italiano;972;SI;NULL;NULL
52;LIB0052;Nella Colonia Penale;Franz Kafka;Racconto;1388;Feltrinelli;978-67-349-8613-1;Italiano;651;SI;NULL;NULL
53;LIB0053;Harry Potter e il Calice di Fuoco;J.K. Rowling;Fantasy;1984;Salani;978-53-129-9098-2;Italiano;856;SI;NULL;NULL
54;LIB0054;I Tre Moschettieri;Alexandre Dumas;Avventura;1486;Newton Compton;978-37-463-5232-3;Italiano;1078;SI;NULL;NULL
55;LIB0055;Il Cimitero di Praga;Umberto Eco;Romanzo storico;1910;Bompiani;978-81-110-9464-4;Italiano;645;SI;NULL;NULL
56;LIB0056;Fontamara;Ignazio Silone;Romanzo sociale;1387;Mondadori;978-62-600-4937-5;Italiano;574;SI;NULL;NULL
57;LIB0057;La Tempesta;William Shakespeare;Teatro;1961;Einaudi;978-67-911-1282-6;Italiano;1085;NO;2026-04-13;2026-07-12
58;LIB0058;Il Grande Ritratto;Dino Buzzati;Fantascienza;1526;Mondadori;978-98-349-6016-7;Italiano;908;SI;NULL;NULL
59;LIB0059;Mastro-don Gesualdo;Giovanni Verga;Verismo;1677;Mondadori;978-80-643-6632-8;Italiano;1049;SI;NULL;NULL
